"","logFC","logCPM","LR","PValue","FDR"
"Bra033098",-12.1531059195841,6.0684668643317,998.628606161039,3.56744831264852e-219,8.57400527461946e-215
"Bra023495",-11.8891699889584,5.7895113183845,974.752922036326,5.52256393861654e-214,6.6364650850355e-210
"Bra016271",-14.2506918855952,8.14380682780737,891.58454527518,6.62596241716103e-196,5.30827935780161e-192
"Bra020631",-11.3183061262974,5.20281701135131,871.96681151611,1.21900677294975e-191,7.32440219526855e-188
"Bra011216",-11.2587700022426,5.12930678461411,853.861240008573,1.05226916592295e-187,5.05804742675846e-184
"Bra020643",-14.3839885783982,8.28021542176278,841.632573527548,4.79372445169666e-185,1.92020622453462e-181
"Bra009785",7.95094648708704,6.02066643365462,786.780696299229,4.03836465291539e-173,1.38654365811669e-169
"Bra011765",-7.31994816169869,6.34036555794562,749.139718769022,6.17245353655084e-165,1.85435935371829e-161
"Bra026924",-8.33401506352318,5.02461481793281,729.744431633664,1.01805591238798e-160,2.71866175537031e-157
"Bra029392",8.33909515475953,6.29841871827939,725.163074289307,1.00917052479877e-159,2.42544043930136e-156
"Bra032700",7.91866318485672,5.20480436196807,706.29264772677,1.2803692307019e-155,2.79749037188086e-152
"Bra014936",7.12187548709676,6.4149808582567,693.641657692822,7.21732784615516e-153,1.44551047878744e-149
"Bra009821",8.41858878313622,5.90295708308738,687.521721180968,1.54604667278113e-151,2.8582835179709e-148
"Bra013702",-9.30085468681198,4.96154709598914,649.470787042318,2.91208891172909e-143,4.9992246360355e-140
"Bra032339",8.27888954322892,4.71855200945627,614.231942451492,1.34368681909949e-135,2.15294460068248e-132
"Bra033316",8.72566535054006,4.7055737760327,612.386471342081,3.38601055816444e-135,5.08621110968276e-132
"Bra031678",-10.6000870145343,4.47726773028499,592.392187013381,7.56095020314006e-131,1.06894045401334e-127
"Bra019678",7.91122801941166,5.84216096206734,592.206873368101,8.29629977456094e-131,1.1077403821211e-127
"Bra017778",-10.2887089090082,4.18966633943643,590.612321612774,1.84382821883819e-130,2.33234565323984e-127
"Bra017888",-7.39295188246822,4.6983567168157,587.620007044604,8.25263355410091e-130,9.91718974196307e-127
"Bra040221",5.23184855907127,5.28275163578271,580.22956124894,3.34307794637562e-128,3.82607311253293e-125
"Bra025126",-6.41085622070236,5.2491140146602,569.993401163759,5.63316028189506e-126,6.15397155523027e-123
"Bra035069",-10.3091194139183,4.20938314844546,568.819206467914,1.01431179496279e-125,1.05991172522329e-122
"Bra012631",4.72829151353268,5.93981096325841,568.242456500677,1.35403739355411e-125,1.35595561319498e-122
"Bra009466",-10.4321584962739,4.31935291057707,565.441047361998,5.50830961312181e-125,5.29546852967078e-122
"Bra017698",-6.17163928841701,4.57715356939942,556.405704742506,5.08749014030717e-123,4.70279761662086e-120
"Bra035136",5.74284869370544,6.43473697259136,551.434726863224,6.13591689806898e-122,5.46187506400703e-119
"Bra033829",-10.3462354958629,4.25740536541671,548.166644037774,3.15370261553793e-121,2.70700316649424e-118
"Bra022071",8.09132350250899,4.53686702443729,545.076076839484,1.48303762270683e-120,1.22908021462538e-117
"Bra100355",-10.4453960830853,4.26516671412545,542.646691632931,5.00786842346992e-120,4.0119703229892e-117
