"","logFC","logCPM","LR","PValue","FDR"
"Bra010821",6.65716537525522,6.04091752220739,153.155439154823,3.5424360303557e-35,8.51389075535688e-31
"Bra033034",-4.63989283603611,6.61169428833109,71.2607803400858,3.12996024702833e-17,3.76127322885394e-13
"Bra035334",-4.14245600817907,4.66533122919594,68.3472866181121,1.37093755976661e-16,1.09830377704769e-12
"Bra003598",-4.89364754572465,3.90012152056902,54.1612071230225,1.84697441919227e-13,1.10975457977168e-09
"Bra016182",7.71436005288216,6.330237454343,49.6140709896602,1.87166502915784e-12,8.99671946215590e-09
"Bra013164",4.09837292548962,9.32908856925254,47.9448310638272,4.3838229593827e-12,1.75601335009673e-08
"Bra009406",6.19965278351211,6.59324187212703,47.3909806756607,5.8149627517536e-12,1.99652592536637e-08
"Bra033856",-3.23482141588886,5.71691214326427,47.0478129004247,6.92759209460339e-12,2.08122185502122e-08
"Bra011196",5.01771140888451,3.3540810720163,46.5173585663299,9.0810423308674e-12,2.42504190422297e-08
"Bra041036",-3.28073097539768,7.16270132537955,45.8485989831647,1.2775446316321e-11,3.07045076766459e-08
"Bra011170",6.89884507891949,2.14543388711482,43.1146649511551,5.16238566370861e-11,1.12793433674157e-07
"Bra037664",-3.02214813215991,3.87045563287743,42.7308411092059,6.28140918559802e-11,1.25806156972219e-07
"Bra002697",2.71320507235782,4.85859762382308,41.68299303736,1.07338641195588e-10,1.98444377114982e-07
"Bra025547",-3.34428884176735,5.72855184928854,41.233921618015,1.35058230219374e-10,2.31856393220888e-07
"Bra016316",-3.43320418369061,3.10181347073635,40.4446766551061,2.02262777769679e-10,3.24078906727765e-07
"Bra019741",3.4110492447802,7.82648353676309,39.7130688075524,2.94150577864494e-10,4.41850936774703e-07
"Bra020500",4.96036223764195,9.289275144855,38.0244177796988,6.98647757083493e-10,9.8772354080851e-07
"Bra005176",5.57520869330071,5.99994450117409,37.095825933841,1.12464205665251e-09,1.50164706608814e-06
"Bra036334",3.42679792957029,8.77693600175246,36.8883427143216,1.25091644763534e-09,1.58234346855094e-06
"Bra013340",-2.19322424831855,4.68936575375638,35.7759150912591,2.21367672138362e-09,2.55255362717996e-06
"Bra011670",-1.91345083768661,5.17829317003151,35.761318197651,2.23032479698673e-09,2.55255362717996e-06
"Bra038908",7.38616064129689,5.73110466223635,35.6013831356654,2.42115570870789e-09,2.64500255923115e-06
