"","logFC","logCPM","LR","PValue","FDR"
"Bra028803",-5.04343007674852,3.51204175653072,132.006401844112,1.49137466919424e-30,3.58436987994143e-26
"Bra019324",4.80970502104625,2.20591484008257,76.4137351799291,2.30045671011248e-18,2.76445882854217e-14
"Bra034565",4.08128999875375,2.15471616438304,68.937286212018,1.01644816423297e-16,8.14310505972507e-13
"Bra025587",4.1909055182886,3.27800574555748,55.0230577196063,1.19124100922132e-13,7.15757160390628e-10
"Bra029946",2.28084485626414,5.36320124176254,47.8026070854583,4.71364808794617e-12,1.8805178798775e-08
"Bra030161",2.84692592471326,5.10108059753155,47.5736273424501,5.29763940598095e-12,1.8805178798775e-08
"Bra026156",1.76467169706906,6.46929550713486,47.5083251828306,5.47708461310747e-12,1.8805178798775e-08
"Bra037739",2.04149576656498,4.539178733217,46.9856567753463,7.15081140444775e-12,2.14828251618122e-08
"Bra016050",5.11929757626704,1.74063875946937,45.901901959122,1.24325193302409e-11,3.320035217589e-08
"Bra029042",3.49650308609821,1.23804014426203,45.5207634854675,1.51029283477007e-11,3.62983779908638e-08
"Bra035094",2.17154182529751,2.977099372918,44.7445204405924,2.24494323672019e-11,4.90499688648482e-08
"Bra001781",2.30665287059325,3.13433688140725,44.0677053018183,3.17211564896478e-11,6.35321895893496e-08
"Bra026919",1.17695349306341,4.93313188983684,43.8934715664913,3.46743516229273e-11,6.41048743773412e-08
"Bra013011",3.23802998252129,3.76363683375196,43.080875940558,5.25231504562145e-11,9.01672427189042e-08
"Bra026157",1.25755503279488,4.7952406574864,42.7923314826348,6.08703090204567e-11,9.75304671331771e-08
"Bra031058",3.24069126167531,2.75247999983729,42.5405967542203,6.92302932614456e-11,1.03992554265349e-07
"Bra018543",1.83854009819311,6.9979873533701,41.2354427945156,1.34953164536866e-10,1.8486474798907e-07
"Bra014975",-1.87116470294124,5.06041392663031,41.1854062598906,1.3845242006338e-10,1.8486474798907e-07
"Bra033696",2.8195915934768,5.83911451895635,40.3075400652648,2.16969981138598e-10,2.74455606667635e-07
"Bra028635",1.37837964574357,4.0525697244762,39.1560813885344,3.91242713037523e-10,4.70156368257191e-07
"Bra008510",1.73002370579233,5.78527940853362,38.8853509729257,4.4944067963288e-10,5.14374156871268e-07
"Bra039212",2.45695996792354,3.35559730965443,37.0544864774818,1.14873964711335e-09,1.25494584903283e-06
"Bra035671",1.80514835638374,4.91122229068628,36.6283900624435,1.42934787203632e-09,1.49260623170232e-06
"Bra029201",2.1568399731117,4.14894872885623,36.4921908406661,1.53279117238148e-09,1.49260623170232e-06
"Bra007198",1.2556373302486,3.84410852432938,36.4671641869998,1.5525986432786e-09,1.49260623170232e-06
"Bra024638",2.01991221872212,2.3920754133408,36.0163257768702,1.95671219475736e-09,1.80875464956917e-06
"Bra033664",1.63670222107193,5.22213784802804,35.7264506044942,2.27060123954531e-09,2.02117148856415e-06
"Bra013434",3.75947465404337,1.37167137554923,35.5199802094693,2.52447772347659e-09,2.15583544400414e-06
"Bra008716",-3.98900107557299,0.753088827287944,35.4616023597875,2.60128267771157e-09,2.15583544400414e-06
"Bra022814",1.92351388156211,4.623769018606,34.8831575999366,3.50096268832311e-09,2.80473790837192e-06
"Bra021887",1.45101612108835,3.82837409675415,34.4378904231579,4.40072237486741e-09,3.41183746959882e-06
"Bra000651",4.30063776817796,0.614710300749799,34.1972304539375,4.97997774332598e-09,3.74027453384677e-06
"Bra027953",2.56745843584486,3.85789388463881,34.0789106417687,5.29217380831269e-09,3.85430622148446e-06
