"GeneID" "Length"
"1" "Bra000001" 1515
"2" "Bra000002" 1089
"3" "Bra000003" 570
"4" "Bra000004" 375
"5" "Bra000005" 1434
"6" "Bra000006" 312
"7" "Bra000007" 711
"8" "Bra000008" 882
"9" "Bra000009" 657
"10" "Bra000010" 1134
"11" "Bra000011" 1044
"12" "Bra000012" 2022
"13" "Bra000013" 2016
"14" "Bra000014" 1842
"15" "Bra000015" 1311
"16" "Bra000016" 522
"17" "Bra000017" 234
"18" "Bra000018" 948
"19" "Bra000019" 948
"20" "Bra000020" 702
"21" "Bra000021" 873
"22" "Bra000022" 753
"23" "Bra000023" 2169
"24" "Bra000024" 1281
"25" "Bra000025" 747
"26" "Bra000026" 1023
"27" "Bra000027" 1755
"28" "Bra000028" 756
"29" "Bra000029" 891
"30" "Bra000030" 678
"31" "Bra000031" 603
"32" "Bra000032" 237
"33" "Bra000033" 1884
"34" "Bra000034" 960
"35" "Bra000035" 2463
"36" "Bra000036" 690
"37" "Bra000037" 2301
"38" "Bra000038" 894
"39" "Bra000039" 1599
"40" "Bra000040" 201
"41" "Bra000041" 753
"42" "Bra000042" 768
"43" "Bra000043" 1374
"44" "Bra000044" 3876
"45" "Bra000045" 1062
"46" "Bra000046" 885
"47" "Bra000047" 885
"48" "Bra000048" 2805
"49" "Bra000049" 183
"50" "Bra000050" 1284
"51" "Bra000051" 174
"52" "Bra000052" 624
"53" "Bra000053" 1224
"54" "Bra000054" 714
"55" "Bra000055" 1533
"56" "Bra000056" 669
"57" "Bra000057" 1467
"58" "Bra000058" 1053
"59" "Bra000059" 1047
"60" "Bra000060" 1431
"61" "Bra000061" 363
"62" "Bra000062" 1980
"63" "Bra000063" 426
"64" "Bra000064" 1422
"65" "Bra000065" 549
"66" "Bra000066" 1293
"67" "Bra000067" 1071
"68" "Bra000068" 387
"69" "Bra000069" 1107
"70" "Bra000070" 1068
"71" "Bra000071" 1596
"72" "Bra000072" 654
"73" "Bra000073" 495
"74" "Bra000074" 771
"75" "Bra000075" 717
"76" "Bra000076" 759
"77" "Bra000077" 939
"78" "Bra000078" 243
"79" "Bra000079" 591
"80" "Bra000080" 588
"81" "Bra000081" 1860
"82" "Bra000082" 468
"83" "Bra000083" 1059
"84" "Bra000084" 1134
"85" "Bra000085" 936
"86" "Bra000086" 618
"87" "Bra000087" 1575
"88" "Bra000088" 645
"89" "Bra000089" 750
"90" "Bra000090" 948
"91" "Bra000091" 960
"92" "Bra000092" 1413
"93" "Bra000093" 585
"94" "Bra000094" 1290
"95" "Bra000095" 324
"96" "Bra000096" 1485
"97" "Bra000097" 405
"98" "Bra000098" 930
"99" "Bra000099" 765
"100" "Bra000100" 1809
"101" "Bra000101" 213
"102" "Bra000102" 1101
"103" "Bra000103" 1296
"104" "Bra000104" 165
"105" "Bra000105" 1701
"106" "Bra000106" 1002
"107" "Bra000107" 1608
"108" "Bra000108" 2217
"109" "Bra000109" 1476
"110" "Bra000110" 1431
"111" "Bra000111" 867
"112" "Bra000112" 705
"113" "Bra000113" 1083
"114" "Bra000114" 9828
"115" "Bra000115" 981
"116" "Bra000116" 813
"117" "Bra000117" 1089
"118" "Bra000118" 705
"119" "Bra000119" 2295
"120" "Bra000120" 2469
"121" "Bra000121" 780
"122" "Bra000122" 1653
"123" "Bra000123" 297
"124" "Bra000124" 1803
"125" "Bra000125" 1452
"126" "Bra000126" 3528
"127" "Bra000127" 906
"128" "Bra000128" 2385
"129" "Bra000129" 1365
"130" "Bra000130" 2457
"131" "Bra000131" 615
"132" "Bra000132" 921
"133" "Bra000133" 891
"134" "Bra000134" 1374
"135" "Bra000135" 453
"136" "Bra000136" 4212
"137" "Bra000137" 648
"138" "Bra000138" 2511
"139" "Bra000139" 1011
"140" "Bra000140" 909
"141" "Bra000141" 1182
"142" "Bra000142" 498
"143" "Bra000143" 1128
"144" "Bra000144" 1428
"145" "Bra000145" 2037
"146" "Bra000146" 195
"147" "Bra000147" 1149
"148" "Bra000148" 663
"149" "Bra000149" 1206
"150" "Bra000150" 2148
"151" "Bra000151" 831
"152" "Bra000152" 1545
"153" "Bra000153" 1473
"154" "Bra000154" 1968
"155" "Bra000155" 1302
"156" "Bra000156" 1773
"157" "Bra000157" 882
"158" "Bra000158" 1275
"159" "Bra000159" 960
"160" "Bra000160" 1365
"161" "Bra000161" 654
"162" "Bra000162" 6180
"163" "Bra000163" 795
"164" "Bra000164" 1830
